Name,Code,Latitude,Longitude,Average Income
Acton Central,E02000262,51.509201,-0.270567,55900
Acton Noel Road & Lynton Road,E02000258,51.516300,-0.272030,57300
"Acton, Great Waldingfield & Bures",E02006232,52.037399,0.766227,44300
Adamsdown,W02000402,51.484901,-3.160210,35400
Addenbrooke's & Queen Edith's,E02003731,52.180599,0.145751,68900
Addingham & Ilkley Moor,E02002183,53.929699,-1.841580,56800
Addiscombe East,E02000214,51.379799,-0.067163,64300
Addiscombe North,E02000210,51.384399,-0.077540,58500
Addiscombe West,E02000215,51.376099,-0.090862,53000
Addlestone North,E02006399,51.374500,-0.494694,61700
Addlestone South,E02006401,51.368301,-0.493698,57600
Adel,E02002345,53.852402,-1.587050,62600
Adelaide Road,E02000179,51.544601,-0.164317,64100
Adlington & Rivington,E02005202,53.617901,-2.597970,43400
Adswood,E02001212,53.390800,-2.172530,35800
Adwick le Street & Woodlands,E02001547,53.566700,-1.193210,33200
Agar Nook,E02005405,52.724098,-1.331030,37800
Agbrigg & Belle Isle,E02002467,53.669601,-1.484780,34800
Aigburth & Grassendale,E02001402,53.361000,-2.914150,52700
Ainsdale East,E02001439,53.601398,-3.031740,36900
Ainsdale West,E02001440,53.598499,-3.046740,51700
Ainsworth & Bradley Fold,E02001030,53.580002,-2.355230,47200
Aintree East & Waddicar,E02001454,53.489399,-2.921040,42900
Aintree West & Old Roan,E02001455,53.483299,-2.954260,41600
Airdrie North,S02002188,55.873699,-3.974300,
Airedale,E02002440,53.720402,-1.319580,36400
Albany and Blackfell,E02001800,54.907200,-1.537380,35000
Albany Park,E02000088,51.439499,0.123698,62600
Albert Dock & Queen's Dock,E02006933,53.398998,-2.984070,44800
Albert Hill & Red Hall,E02002567,54.529202,-1.527340,35500
Alcester,E02006509,52.216301,-1.873380,42700
Aldborough Hatch,E02000763,51.581799,0.095354,54300
Aldbrough & Sproatley,E02002704,53.807701,-0.197487,41700
Alderholt & Sixpenny Handley,E02004243,50.917801,-1.915760,49600
Alderley Edge & Chelford,E02003864,53.295502,-2.247480,54900
Aldermoor & Lordswood,E02003550,50.942200,-1.435970,51200
Aldershot Manor Park,E02004812,51.240601,-0.757803,66400
Aldershot North Town,E02004810,51.248402,-0.744479,56500
Aldershot Park,E02004813,51.238899,-0.745083,45900
Aldershot Rowhill,E02004811,51.245998,-0.772059,53200
Aldershot Town,E02004809,51.250702,-0.761644,62900
Aldgate,E02000884,51.514198,-0.067159,60700
Aldridge Central,E02002124,52.607601,-1.918950,38200
Aldridge North,E02002116,52.623402,-1.916790,42400
Aldridge South,E02002131,52.594898,-1.918970,49600
Aldrington,E02003506,50.835499,-0.183474,63300
Aldrington South,E02003513,50.830700,-0.190702,51100
Aldwick,E02006559,50.782001,-0.708731,50500
Alexandra Parade,S02001928,55.864300,-4.210580,
Alexandra Park,E02003532,50.820702,-1.078230,48900
Alexandra Park,E02001119,53.540298,-2.099210,32800
Alexandra Park,E02000405,51.598999,-0.132176,78100
Alexandra Park,E02000462,51.561199,-0.359542,55000
"Alford, Withern & Willoughby",E02005431,53.259399,0.188654,32200
Alfreton,E02004029,53.096699,-1.383340,36200
Alkrington,E02001156,53.538502,-2.192970,45800
Allanton - Newmains Rural,S02002146,55.799301,-3.847190,
Allens Cross,E02001945,52.412498,-1.987830,34400
Allenton & Osmaston,E02002821,52.894199,-1.454350,33900
Allerton,E02002218,53.804501,-1.826110,34000
Allerton,E02001400,53.365501,-2.892910,42100
Allesley Green & Lower Eastern Green,E02001980,52.415298,-1.572700,50100
Allesley Park,E02001979,52.415501,-1.557660,45500
Allestree North,E02002796,52.954498,-1.484750,51300
Allestree South,E02002797,52.945801,-1.497550,48500
Allington,E02005070,51.283401,0.496631,56300
Alloa North,S02001403,56.123100,-3.801690,
Alloa South and East,S02001402,56.113602,-3.790950,
Alloa West,S02001404,56.117001,-3.804780,
Alloway and Doonfoot,S02002335,55.435902,-4.640420,
Almondbury & Waterloo,E02002314,53.634201,-1.745850,39100
"Almondsbury, Pilning & Severn Beach",E02003094,51.548500,-2.610650,54400
Alness,S02002020,57.695702,-4.255790,
Alnwick,E02005703,55.407600,-1.704980,36000
Alperton East,E02000118,51.543701,-0.289431,52000
Alperton West,E02000121,51.540001,-0.298272,51700
Alphington & Marsh Barton,E02004162,50.705200,-3.531260,47800
"Alresford, Great Bentley & Thorrington",E02004581,51.847698,1.031950,44300
"Alrewas, Fradley & King's Bromley",E02006147,52.727901,-1.783430,53100
Alsager East,E02003823,53.096500,-2.299760,41700
Alsager West,E02003824,53.095901,-2.319780,48800
Alstone & St Mark's,E02004606,51.902100,-2.097600,49400
Alt,E02001123,53.531502,-2.079240,34100
Altarnun & Stoke Climsland,E02003936,50.599701,-4.391270,42600
Altofts,E02002446,53.709099,-1.426930,44500
"Alton Ashdell, Whitedown & Amery",E02004699,51.148499,-0.977939,55800
Alton Westbrooke & Eastbrooke,E02004698,51.149899,-0.974846,42200
Altonhill North and Onthank,S02001500,55.626999,-4.500830,
"Altonhill South, Longpark and Hillhead",S02001501,55.618698,-4.498730,
Altrincham East,E02001282,53.388000,-2.342010,54500
"Altrincham West, Dunham & Warburton",E02001283,53.389702,-2.368800,55500
Alva,S02001396,56.152699,-3.801680,
Alvaston & Crewton,E02002820,52.896099,-1.436080,35700
"Alvechurch, Hopwood & Holt End",E02006704,52.351898,-1.936950,49600
"Alveley, Claverley & Worfield",E02006013,52.542500,-2.348890,45400
Alverstoke & Privett,E02004749,50.789501,-1.156320,50100
Alverthorpe & Flanshaw,E02002459,53.685699,-1.529880,39800
"Alveston, Olveston & Oldbury",E02003093,51.593899,-2.556940,56600
Alwoodley,E02002341,53.860100,-1.549240,63800
Alyth,S02002246,56.622601,-3.230310,
"Ambergate, Heage & Idridgehay",E02004035,53.046501,-1.491270,43700
"Amberley, Pulborough & Storrington",E02006600,50.935699,-0.485694,42500
"Amble, Shilbottle & Swarland",E02005704,55.333099,-1.633690,38800
Amblecote East,E02002026,52.469101,-2.120620,39300
Amblecote West & Stambermill,E02002030,52.462002,-2.142760,36500
Amersham-on-the-Hill & Chesham Bois,E02003681,51.677399,-0.604873,66800
Amesbury,E02006663,51.169399,-1.769580,52800
Amhurst Road & Pembury Estate,E02000360,51.550598,-0.064127,49400
Amington,E02006219,52.631699,-1.653470,44000
Amlwch & Llannerch-y-medd,W02000001,53.385700,-4.407590,34400
Ammanford & Betws,W02000154,51.790901,-3.983980,35900
Ampthill & Millbrook,E02003610,52.026501,-0.499516,57300
"Ancaster, Caythorpe & Claypole",E02005476,53.004101,-0.611377,45100
Anchorage Park & Copnor,E02003531,50.823898,-1.056870,46800
Anderston,S02001935,55.863300,-4.276320,
Andover Central,E02004817,51.208302,-1.483080,48800
Andover Charlton & Bourne Valley,E02004814,51.256699,-1.488660,63000
Andover London Road & East Anton,E02004816,51.217098,-1.463380,57000
Andover Newbury Road,E02004815,51.221600,-1.473220,50100
Andover South,E02004819,51.203400,-1.486840,55100
Andover West,E02004818,51.209900,-1.521180,55700
Anerley North & Penge West,E02000135,51.412102,-0.060921,47700
Anerley South,E02000141,51.406101,-0.058098,60000
Anfield East,E02001365,53.427799,-2.950010,31000
Anfield North,E02001361,53.434700,-2.946400,32400
Anfield West,E02001364,53.428799,-2.962780,31200
Angel,E02000573,51.537800,-0.103197,81200
"Angmering North, Patching & Findon",E02006543,50.849899,-0.449944,45500
Angmering South,E02006546,50.819698,-0.482627,46700
Angus Glens,S02001369,56.748100,-2.927010,
Anlaby Common,E02006814,53.740002,-0.417815,41400
Anlaby Park & Pickering,E02006813,53.730301,-0.410847,33500
Annan East,S02001442,54.994999,-3.242220,
Annan West,S02001441,54.986698,-3.261540,
Annandale East,S02001439,55.087002,-3.198320,
Annandale West,S02001440,55.034901,-3.331820,
"Annbank, Mossblown and Tarbolton - the Coalfields",S02002349,55.504501,-4.497760,
Annesley & Kirkby Woodhouse,E02005828,53.078999,-1.251960,39700
Anniesland East,S02001970,55.892300,-4.317200,
Anniesland West,S02001971,55.894501,-4.332090,
Ansdell & Fairhaven,E02005210,53.744099,-2.999650,44800
Anstey,E02005366,52.674099,-1.188340,42400
Anston & Woodsetts,E02001609,53.355000,-1.219400,41300
Anstruther,S02001832,56.226002,-2.698480,
Apley & Leegomery,E02002934,52.712002,-2.502640,48300
"Appleby, Shap & Kirkby Thore",E02004013,54.580700,-2.570600,39700
Appledore & Northam North,E02004220,51.046600,-4.207610,37400
Appleton,E02002614,53.355400,-2.574470,64400
"Appleton Thorn, Stretton & Walton",E02002613,53.357300,-2.561670,60600
"Arboretum, Forest & Trent University",E02002889,52.958900,-1.159290,30300
Arborfield & Garrison,E02003456,51.382801,-0.890827,66300
Arbourthorne,E02001658,53.359600,-1.439850,28100
Arbroath Cliffburn,S02001354,56.567299,-2.570300,
Arbroath Harbour,S02001353,56.559299,-2.583170,
Arbroath Keptie,S02001352,56.559799,-2.598820,
Arbroath Kirkton,S02001351,56.563400,-2.610320,
Arbroath Landward,S02001350,56.578300,-2.635280,
Arbroath Warddykes,S02001355,56.569099,-2.586100,
Arbury,E02003720,52.221401,0.115761,54300
Archway East,E02000555,51.568699,-0.130402,58600
Archway West,E02000557,51.563000,-0.136377,60100
Ardleigh Green,E02000473,51.585499,0.223660,58200
Ardler and St Marys,S02001474,56.487900,-3.013770,
Ardrossan Central,S02002112,55.643501,-4.809300,
Ardrossan North East,S02002114,55.653999,-4.804090,
Ardrossan North West,S02002113,55.650799,-4.814420,
Ardsley & Stairfoot,E02001523,53.547501,-1.445890,37500
Ardwick,E02001062,53.467999,-2.219870,33400
Arkwright Town & Temple Normanton,E02004111,53.226200,-1.372860,37600
Arle & Hesters Way,E02004604,51.906101,-2.110780,39700
Arlesey & Henlow,E02003608,52.029301,-0.270562,51400
Armadale,S02002500,55.900501,-3.702100,
Armadale South,S02002501,55.893299,-3.694430,
Armitage & Colton,E02006146,52.754002,-1.889000,45000
Armley & New Wortley,E02002400,53.796398,-1.571340,28600
Armthorpe North,E02001552,53.538601,-1.054360,35000
Armthorpe South,E02001555,53.531601,-1.048970,38700
Arnold Town,E02005869,53.003799,-1.121450,37000
"Arnside, Milnthorpe & Holme",E02004025,54.209202,-2.786000,44700
Arran,S02002097,55.540600,-5.169310,
Arrow Valley & Ipsley,E02006727,52.299400,-1.914340,45100
Arundel,E02006542,50.855202,-0.566242,47900
Ascot & North Ascot East,E02003437,51.412899,-0.672018,65800
"Asfordby, Frisby & Old Dalby",E02005393,52.776501,-0.964662,42200
Ash & Wingham,E02005041,51.280701,1.252430,49000
Ash Green & Keresley End,E02006806,52.463001,-1.505200,42700
Ash Vale,E02006347,51.267799,-0.723562,61700
Ash Wharf,E02006353,51.250099,-0.720509,52300
"Ashbourne North, Dovedale & Carsington",E02004075,53.053600,-1.678230,42800
Ashbourne South,E02004076,53.008999,-1.720170,39400
Ashburton & Buckfastleigh,E02004217,50.506001,-3.765610,41400
Ashby de la Zouch North,E02005399,52.749100,-1.470180,46400
Ashby de la Zouch South,E02005402,52.743198,-1.478880,45300
Ashdown,E02004368,50.884899,0.551182,46100
Ashford Central,E02005000,51.145699,0.874374,45000
Ashford Common,E02006408,51.425701,-0.441881,60200
Ashford East,E02006407,51.430901,-0.454293,61800
Ashford West,E02006405,51.435101,-0.471028,71400
Ashgate & Brockwell,E02004063,53.237999,-1.453200,42900
Ashgill and Netherburn,S02002371,55.725899,-3.936000,
Ashgrove,S02001262,57.158001,-2.117550,
Ashingdon,E02004564,51.605202,0.689600,48200
Ashington & Washington,E02006602,50.925301,-0.410985,57400
Ashington East,E02005736,55.178501,-1.548110,33700
Ashington Hirst,E02005735,55.181702,-1.566280,27900
Ashington South,E02005738,55.169300,-1.552080,38000
Ashington West,E02005737,55.179401,-1.586210,36800
Ashmore,E02002120,52.615501,-2.043070,42300
Ashmore Park,E02002153,52.615501,-2.060290,32700
Ashover & New Tupton,E02004114,53.181301,-1.448780,43500
Ashtead East,E02006362,51.310799,-0.297385,67400
Ashtead West,E02006363,51.312000,-0.312022,71100
Ashton,E02003052,51.435200,-2.618840,49700
Ashton Central,E02001241,53.485802,-2.099280,29900
Ashton East,E02001235,53.489399,-2.079960,38500
Ashton North,E02001230,53.507599,-2.086270,42200
Ashton upon Mersey North,E02001271,53.428101,-2.350040,43600
Ashton upon Mersey South,E02001274,53.419701,-2.344240,56800
Ashton Waterloo,E02001233,53.498798,-2.107080,34300
Ashton-in-Makerfield East,E02001321,53.490601,-2.623490,41300
Ashton-in-Makerfield North,E02001318,53.500401,-2.646090,36200
Ashton-in-Makerfield West,E02001322,53.488701,-2.642800,39800
Ashton-on-Ribble & Larches,E02005265,53.767101,-2.747800,38700
Ashurst & Cadnam,E02004784,50.909401,-1.536200,53200
Ashwood,E02002023,52.474998,-2.165450,38300
Askam & Dalton North,E02003977,54.177200,-3.187790,40300
"Askern, Campsall & Norton",E02001540,53.617500,-1.155080,34000
Askew,E02000377,51.503601,-0.240108,55900
"Askham, Ullswater & Greystoke",E02004012,54.617802,-2.868950,46200
Aspatria & Abbeytown,E02003967,54.771198,-3.318950,36800
Aspley,E02002880,52.976501,-1.201460,34200
"Aspley, Longley & University",E02002312,53.640099,-1.779030,31900
Aspull & Red Rock,E02001290,53.575100,-2.604860,43200
Astley Bridge & Waters Meeting,E02000988,53.599998,-2.434270,35300
"Astley, Blackmoor & Mosley Common",E02001315,53.502499,-2.444220,44700
Aston,E02001607,53.364101,-1.309410,34800
Aston Park,E02001863,52.506199,-1.880120,28600
Aston-on-Trent & Barrow-upon-Trent,E02004121,52.866402,-1.404920,52900
Athersley,E02001515,53.579800,-1.472770,27700
Atherstone,E02006470,52.575901,-1.543540,39200
Atherton North,E02001303,53.530899,-2.491670,33400
Atherton South East & Tyldesley West,E02001308,53.522499,-2.481110,35500
Atherton South West,E02001309,53.521702,-2.499670,39800
Attenborough & Chilwell East,E02005863,52.915901,-1.231110,48100
Attleborough,E02005513,52.514099,1.010290,44900
Attleborough,E02006484,52.510300,-1.451340,41200
Attwood Green & Park Central,E02006895,52.470200,-1.903120,42700
Auchenback,S02001560,55.794498,-4.380870,
Auchinairn,S02001521,55.900799,-4.212820,
Auchinleck,S02001485,55.471802,-4.292020,
Auchnagatt,S02001332,57.474201,-2.115300,
Auchterarder,S02002223,56.295399,-3.709440,
Auchterless and Monquhitter,S02001322,57.519798,-2.522330,
Auchtermuchty and Gateside,S02001824,56.286098,-3.247370,
Audenshaw,E02001242,53.476200,-2.136110,45400
"Audlem, Bunbury & Wrenbury",E02003840,53.047001,-2.598480,45700
Audley,E02002621,53.746700,-2.466950,30100
Audley & Bignall End,E02006162,53.048901,-2.298200,41000
"Audley End, Ashdon & the Chesterfords",E02004591,52.042000,0.249465,61200
Aughton,E02005315,53.549198,-2.906090,51100
Aveley,E02003303,51.501301,0.250975,47700
Avery Hill,E02000342,51.443901,0.079944,47500
Axminster,E02004133,50.786301,-2.987920,40700
"Aykley Heads, Neville's Cross & Langley Moor",E02004315,54.769600,-1.595340,58700
Aylesbury Central,E02003666,51.818001,-0.810389,48100
"Aylesford, Wouldham & Blue Bell Hill",E02005149,51.328899,0.484385,52000
Aylesham & Elvington,E02005046,51.219101,1.220260,46700
Aylestone North & Saffron Fields,E02002857,52.610600,-1.140100,36100
Aylestone South,E02002860,52.601101,-1.153190,39300
Aylsham,E02005520,52.792500,1.249820,41200
"Ayr North Harbour, Wallacetown and Newton South",S02002340,55.469200,-4.626760,
Ayr South Harbour and Town Centre,S02002339,55.460701,-4.633100,
Ayresome,E02002498,54.573200,-1.245980,28600
Ayton & Snainton,E02005807,54.238998,-0.494161,44900
Babbacombe & Plainmoor,E02003158,50.477200,-3.519750,39100
Baberton and Juniper Green,S02001579,55.907501,-3.286430,
Backwell & Flax Bourton,E02003075,51.412701,-2.727750,62200
Bacup,E02005280,53.705002,-2.196780,37600
Baddley & Milton,E02002957,53.053600,-2.140320,41000
Badenoch and Strathspey Central,S02001983,57.216400,-3.811890,
Badenoch and Strathspey North,S02001984,57.317501,-3.611490,
Badenoch and Strathspey South,S02001982,57.075802,-4.062670,
Baffins,E02003537,50.805302,-1.058490,44800
Baglan,W02000213,51.617298,-3.805620,42200
Bagshot,E02006417,51.359901,-0.692429,60200
Baguley East & Wythenshawe Park,E02001092,53.396500,-2.282200,38400
Baguley West & Brooklands,E02001091,53.402401,-2.303890,39800
Baildon North,E02002195,53.852798,-1.767590,49200
Baildon South,E02002198,53.845200,-1.764380,39900
Baillieston East,S02001901,55.846802,-4.107860,
Baillieston West,S02001900,55.846600,-4.122850,
Baker's Arms,E02000914,51.571899,-0.010515,49300
Bakersfield,E02002891,52.958500,-1.111400,36700
"Bakewell North, Baslow & Calver",E02004069,53.241600,-1.664090,46800
"Bakewell South, Youlgreave and Taddington",E02004070,53.198502,-1.719760,41300
Bala & Mawddwy,W02000024,52.829498,-3.660050,36200
Balby Carr,E02001566,53.501701,-1.141910,38000
Balby South,E02001567,53.499500,-1.162780,32700
Balcombe & Handcross,E02006610,51.047001,-0.175100,58800
Balderstone & Kirkholt,E02001147,53.594898,-2.147650,38700
Balderton,E02005903,53.056801,-0.784651,38100
Baldock,E02004912,51.987000,-0.186109,50300
Balerno and Bonnington Village,S02001576,55.882401,-3.345010,
Balfron and Drymen,S02002437,56.076698,-4.373620,
Balgay,S02001470,56.467300,-3.014560,
Balgownie and Donmouth East,S02001283,57.183498,-2.094090,
Balgownie and Donmouth West,S02001282,57.181301,-2.107410,
Balgreen and Roseburn,S02001661,55.942600,-3.248130,
Balham,E02000943,51.446999,-0.152134,87000
Ballingry,S02001775,56.163200,-3.328540,
Balloch East,S02002209,55.947201,-4.023900,
Balloch West,S02002208,55.954800,-4.016120,
Balmalloch,S02002212,55.977798,-4.074260,
Balmedie and Potterton,S02001312,57.245800,-2.099890,
Balmullo and Gauldry,S02001839,56.392200,-2.954980,
Balornock,S02001919,55.892799,-4.206390,
Balsall Common,E02002105,52.393398,-1.649510,56700
Balsall Heath East,E02001909,52.457199,-1.879410,30200
Balsall Heath West & Kingswood Road,E02001910,52.456699,-1.887260,32200
Bamber Bridge East,E02005294,53.730499,-2.655690,42300
Bamber Bridge West,E02005293,53.729301,-2.666270,37800
"Bampton, Clanfield & Standlake",E02006007,51.724998,-1.517820,53800
"Bampton, Holcombe & Westleigh",E02004164,50.950298,-3.494850,46000
Banbury Calthorpe,E02005927,52.052502,-1.330270,60100
Banbury Easington,E02005926,52.054501,-1.344870,50600
Banbury Grimsbury,E02005924,52.063301,-1.328360,51600
Banbury Hardwick,E02005922,52.075199,-1.357030,58800
Banbury Neithrop,E02005923,52.069599,-1.346610,48100
Banbury Ruscote,E02005925,52.062901,-1.360030,48600
Banchory East,S02001297,57.056801,-2.483550,
Banchory West,S02001298,57.053600,-2.501860,
Banchory-Devenick and Findon,S02001295,57.074799,-2.133070,
Banff,S02001326,57.665001,-2.527110,
Bangor City,W02000010,53.228001,-4.127210,31600
Bangor South,W02000011,53.218700,-4.142710,39600
"Bangor-on-Dee, Overton & Penley",W02000095,52.967899,-2.842870,40600
Banister Park & Howard Road,E02003568,50.917198,-1.415540,57800
Bank Hall & Fulledge,E02005182,53.790501,-2.232430,30600
Bank Top,E02002570,54.519199,-1.538360,31000
Bank Top & Radcliffe Ees,E02001033,53.567402,-2.312790,37100
Bankfields,E02002529,54.551601,-1.155330,34500
Bankfoot,E02002238,53.767300,-1.765850,31000
Bankhead South,S02002411,55.821098,-4.226740,
"Banknock, Haggs and Longcroft",S02001700,55.989799,-3.941720,
Bankton and Murieston,S02002482,55.869598,-3.505410,
Bannockburn,S02002443,56.089600,-3.909960,
Banstead,E02006376,51.322701,-0.202320,58800
Bar Hill & Boxworth,E02003779,52.249699,0.007888,60800
Barassie,S02002352,55.553799,-4.654450,
Barbourne & Rainbow Hill,E02006737,52.207001,-2.214740,46300
Barclay Hills & Trinity,E02005185,53.786098,-2.261130,31400
Bare,E02005224,54.076199,-2.838160,38100
Bargoed,W02000293,51.688801,-3.233460,32700
Barkerend East,E02002224,53.794899,-1.719910,27300
Barkham & Woose Hill,E02003453,51.408401,-0.867680,85100
Barking Central,E02000016,51.539200,0.077269,46600
Barking East,E02000017,51.539902,0.086648,51300
Barkingside East,E02000765,51.579201,0.071594,57300
Barkingside North,E02000760,51.592701,0.075963,52500
Barkingside West,E02000762,51.581299,0.064039,58300
Barlanark,S02001908,55.860699,-4.141380,
"Barlaston, Tittensor & Swynnerton",E02006189,52.941601,-2.178030,47400
Barlby & Riccall,E02005811,53.835999,-1.034810,50300
Barloch,S02001508,55.944500,-4.313390,
Barming,E02005075,51.268600,0.486217,58700
Barmouth & Dolgellau,W02000025,52.746300,-3.931090,33800
Barmulloch,S02001920,55.885300,-4.205380,
"Barnack, Wittering & Wansford",E02003240,52.618000,-0.416515,57600
Barnard Castle,E02004347,54.546200,-1.921480,40100
Barnard's Green,E02006718,52.104801,-2.308480,42200
Barncroft & Warren Park,E02004767,50.873699,-0.999747,33600
Barnehurst North,E02000078,51.465698,0.166620,57500
Barnehurst South,E02000081,51.457699,0.157209,52900
Barnes Park,E02001808,54.899101,-1.404160,35800
"Barnetby, Ulceby & Killingholme",E02002752,53.617901,-0.321057,39000
Barnfield,E02003264,51.903999,-0.418668,59600
Barnhill,S02001460,56.473801,-2.854140,
Barnhill The Avenue,E02000098,51.573299,-0.286423,54100
Barnoldswick North,E02005240,53.921200,-2.185540,39300
Barnoldswick South,E02005241,53.914700,-2.188590,37900
Barnsbury East,E02000570,51.540401,-0.107174,81400
Barnsbury West,E02000572,51.535900,-0.116880,48000
Barnsley Town & Park Road,E02001521,53.551701,-1.484280,34800
Barnstaple Central,E02004182,51.080502,-4.055440,34800
Barnstaple Pilton,E02004181,51.086700,-4.065130,41700
Barnstaple South,E02004184,51.072899,-4.040910,41500
Barnstaple Sticklepath,E02004183,51.074299,-4.066290,40300
Barnt Green & Lickey Hills,E02006701,52.369400,-1.998770,64400
Barnton,E02003876,53.273300,-2.549450,40100
"Barnton, Cammo and Cramond South",S02001674,55.962898,-3.307770,
Barons Court,E02000385,51.487900,-0.211754,73100
Barra and South Uist,S02001687,57.139599,-7.392550,
Barrahill,S02001317,57.338501,-2.335680,
Barras Heath,E02001978,52.415600,-1.474860,40400
"Barrington, Orwell & Gamlingay",E02003787,52.145401,-0.096716,50600
Barrow Central,E02003984,54.114101,-3.224960,26800
Barrow upon Soar,E02005355,52.751999,-1.143200,44400
"Barrow, Chedburgh & Sicklesmere",E02006280,52.240299,0.659409,49000
Barrowcliff & Northstead,E02005801,54.289799,-0.420065,30100
"Barrowford, Higham & Pendleside",E02005247,53.847301,-2.239410,45900
Barry Dyfan & Illtyd,W02000246,51.411701,-3.291420,42600
Barry East,W02000248,51.408699,-3.263610,34900
Barry Island,W02000251,51.399300,-3.275700,38500
Barry West,W02000249,51.403400,-3.284130,35700
Barstable,E02004442,51.565201,0.482398,37600
Bartley Green & Shenley Fields,E02001932,52.429199,-1.987140,35100
Barton,E02004640,51.858200,-2.234230,36000
Barton,E02005944,51.767601,-1.205690,54300
Barton Hill,E02006889,51.456299,-2.568110,37000
Barton on Sea,E02004800,50.741402,-1.666330,46500
Barton Seagrave,E02005648,52.384102,-0.690301,46900
Barton upon Humber,E02002749,53.684399,-0.438324,36500
Barton upon Irwell,E02001182,53.481098,-2.342260,33900
Barton-le-Clay & Upper Sundon,E02003636,51.956699,-0.429654,54800
Barton-under-Needwood,E02006145,52.770302,-1.723100,50200
Barwell,E02005383,52.569901,-1.343880,38400
"Baschurch, Cockshutt & Harmer Hill",E02006021,52.841400,-2.786100,47800
Basford & Hartshill,E02002968,53.009399,-2.204090,43000
Basford Park Lane,E02002875,52.988602,-1.177090,33700
Basildon Central & Pipps Hill,E02004438,51.572300,0.461132,39300
"Basingstoke Central, Black Dam & Eastrop",E02004685,51.264099,-1.082670,51400
Bassett Green,E02003549,50.944099,-1.401410,59800
Bassingbourn & the Mordens,E02003793,52.077301,-0.082339,56000
